item_name;item_category;custom;type;In;Isc;pcurve_l;pcurve_g
2A, gG-HF;gG fuse - HF - L&T;True;gG-HF;2;80;('fuse_lnt', '2.csv', 'params.json');
4A, gG-HF;gG fuse - HF - L&T;True;gG-HF;4;80;('fuse_lnt', '4.csv', 'params.json');
6A, gG-HF;gG fuse - HF - L&T;True;gG-HF;6;80;('fuse_lnt', '6.csv', 'params.json');
10A, gG-HF;gG fuse - HF - L&T;True;gG-HF;10;80;('fuse_lnt', '10.csv', 'params.json');
16A, gG-HF;gG fuse - HF - L&T;True;gG-HF;16;80;('fuse_lnt', '16.csv', 'params.json');
20A, gG-HF;gG fuse - HF - L&T;True;gG-HF;20;80;('fuse_lnt', '20.csv', 'params.json');
25A, gG-HF;gG fuse - HF - L&T;True;gG-HF;25;80;('fuse_lnt', '25.csv', 'params.json');
32A, gG-HF;gG fuse - HF - L&T;True;gG-HF;32;80;('fuse_lnt', '32.csv', 'params.json');
40A, gG-HF;gG fuse - HF - L&T;True;gG-HF;40;80;('fuse_lnt', '40.csv', 'params.json');
50A, gG-HF;gG fuse - HF - L&T;True;gG-HF;50;80;('fuse_lnt', '50.csv', 'params.json');
63A, gG-HF;gG fuse - HF - L&T;True;gG-HF;63;80;('fuse_lnt', '63.csv', 'params.json');
63A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;63;100;('fuse_lnt', '63_1.csv', 'params.json');
80A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;80;100;('fuse_lnt', '80_1.csv', 'params.json');
100A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;100;100;('fuse_lnt', '100_1.csv', 'params.json');
125A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;125;100;('fuse_lnt', '125_1.csv', 'params.json');
160A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;160;100;('fuse_lnt', '160_1.csv', 'params.json');
200A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;200;100;('fuse_lnt', '200_1.csv', 'params.json');
250A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;250;100;('fuse_lnt', '250_1.csv', 'params.json');
315A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;315;100;('fuse_lnt', '315_1.csv', 'params.json');
400A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;400;100;('fuse_lnt', '400_1.csv', 'params.json');
500A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;500;100;('fuse_lnt', '500_1.csv', 'params.json');
630A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;630;100;('fuse_lnt', '630_1.csv', 'params.json');
800A, gG-DIN-HN;gG fuse - DIN - HN - L&T;True;gG-DIN-HN;800;100;('fuse_lnt', '800_1.csv', 'params.json');
2A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;2;80;('fuse_schneider', '2_1.csv', 'params.json');
4A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;4;80;('fuse_schneider', '4_1.csv', 'params.json');
6A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;6;80;('fuse_schneider', '6_1.csv', 'params.json');
10A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;10;80;('fuse_schneider', '10_1.csv', 'params.json');
16A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;16;80;('fuse_schneider', '16_1.csv', 'params.json');
20A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;20;80;('fuse_schneider', '20_1.csv', 'params.json');
25A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;25;80;('fuse_schneider', '25_1.csv', 'params.json');
32A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;32;80;('fuse_schneider', '32_1.csv', 'params.json');
40A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;40;80;('fuse_schneider', '40_1.csv', 'params.json');
50A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;50;80;('fuse_schneider', '50_1.csv', 'params.json');
63A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;63;80;('fuse_schneider', '63_1.csv', 'params.json');
63A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;63;80;('fuse_schneider', '63_1.csv', 'params.json');
80A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;80;80;('fuse_schneider', '80_1.csv', 'params.json');
100A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;100;80;('fuse_schneider', '100_1.csv', 'params.json');
125A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;125;80;('fuse_schneider', '125_1.csv', 'params.json');
160A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;160;80;('fuse_schneider', '160_1.csv', 'params.json');
200A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;200;80;('fuse_schneider', '200_1.csv', 'params.json');
250A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;250;80;('fuse_schneider', '250_1.csv', 'params.json');
315A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;315;80;('fuse_schneider', '315_1.csv', 'params.json');
400A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;400;80;('fuse_schneider', '400_1.csv', 'params.json');
500A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;500;80;('fuse_schneider', '500_1.csv', 'params.json');
630A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;630;80;('fuse_schneider', '630_1.csv', 'params.json');
800A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;800;80;('fuse_schneider', '800_1.csv', 'params.json');
1000A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;1000;80;('fuse_schneider', '1000_1.csv', 'params.json');
1250A, gG-DIN-NH;gG fuse - DIN - NH - Schneider;True;gG-DIN-NH;1250;80;('fuse_schneider', '1250_1.csv', 'params.json');
2A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;2;80;('fuse_schneider', '2_2.csv', 'params.json');
4A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;4;80;('fuse_schneider', '4_2.csv', 'params.json');
6A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;6;80;('fuse_schneider', '6_2.csv', 'params.json');
10A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;10;80;('fuse_schneider', '10_2.csv', 'params.json');
16A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;16;80;('fuse_schneider', '16_2.csv', 'params.json');
20A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;20;80;('fuse_schneider', '20_2.csv', 'params.json');
25A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;25;80;('fuse_schneider', '25_2.csv', 'params.json');
32A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;32;80;('fuse_schneider', '32_2.csv', 'params.json');
40A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;40;80;('fuse_schneider', '40_2.csv', 'params.json');
50A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;50;80;('fuse_schneider', '50_2.csv', 'params.json');
63A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;63;80;('fuse_schneider', '63_2.csv', 'params.json');
63A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;63;80;('fuse_schneider', '63_2.csv', 'params.json');
80A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;80;80;('fuse_schneider', '80_2.csv', 'params.json');
100A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;100;80;('fuse_schneider', '100_2.csv', 'params.json');
125A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;125;80;('fuse_schneider', '125_2.csv', 'params.json');
160A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;160;80;('fuse_schneider', '160_2.csv', 'params.json');
200A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;200;80;('fuse_schneider', '200_2.csv', 'params.json');
250A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;250;80;('fuse_schneider', '250_2.csv', 'params.json');
315A, aM-DIN-NH;aM fuse - DIN - NH - Schneider;True;aM-DIN-NH;315;80;('fuse_schneider', '315_2.csv', 'params.json');
