item_name;item_category;designation;r_ohm_per_km;x_ohm_per_km;r_n_ohm_per_km;x_n_ohm_per_km;r_pe_ohm_per_km;x_p_pe_ohm_per_km;i_cw;i_pk;max_i_ka
160A-MR-AL;Legrand - Medium Rating - Al;160A-MR-AL;0.665;0.26;0.492;0.26;0.341;0.48;9;15;0.16
250A-MR-AL;Legrand - Medium Rating - Al;250A-MR-AL;0.443;0.202;0.328;0.202;0.341;0.414;15;30;0.25
315A-MR-AL;Legrand - Medium Rating - Al;315A-MR-AL;0.266;0.186;0.197;0.186;0.341;0.396;15;30;0.315
400A-MR-AL;Legrand - Medium Rating - Al;400A-MR-AL;0.163;0.13;0.12;0.13;0.283;0.333;15;30;0.4
500A-MR-AL;Legrand - Medium Rating - Al;500A-MR-AL;0.104;0.11;0.077;0.11;0.283;0.333;18;36;0.5
630A-MR-AL;Legrand - Medium Rating - Al;630A-MR-AL;0.081;0.097;0.06;0.097;0.283;0.283;22;45;0.63
800A-MR-AL;Legrand - Medium Rating - Al;800A-MR-AL;0.07;0.096;0.052;0.096;0.283;0.275;22;45;0.8
1000A-MR-AL;Legrand - Medium Rating - Al;1000A-MR-AL;0.073;0.076;0.037;0.076;0.283;0.273;18;36;1
250A-MR-CU;Legrand - Medium Rating - Cu;250A-MR-CU;0.32;0.205;0.237;0.205;0.336;0.425;15;30;0.25
315A-MR-CU;Legrand - Medium Rating - Cu;315A-MR-CU;0.243;0.188;0.18;0.188;0.336;0.408;15;30;0.315
400A-MR-CU;Legrand - Medium Rating - Cu;400A-MR-CU;0.129;0.129;0.096;0.129;0.336;0.349;18;36;0.4
630A-MR-CU;Legrand - Medium Rating - Cu;630A-MR-CU;0.082;0.122;0.061;0.122;0.279;0.302;22;45;0.63
800A-MR-CU;Legrand - Medium Rating - Cu;800A-MR-CU;0.053;0.122;0.04;0.122;0.279;0.302;22;45;0.8
1000A-MR-CU;Legrand - Medium Rating - Cu;1000A-MR-CU;0.043;0.12;0.032;0.12;0.279;0.3;22;45;1
630A-SCP-AL;Legrand - SCP - Al (PE1);630A-SCP-AL;0.084;0.023;0.077;0.023;0.125;0.1;22;48;0.63
800A-SCP-AL;Legrand - SCP - Al (PE1);800A-SCP-AL;0.063;0.017;0.057;0.017;0.125;0.1;25;55;0.8
1000A-SCP-AL;Legrand - SCP - Al (PE1);1000A-SCP-AL;0.068;0.017;0.057;0.017;0.125;0.1;30;66;1
1250A-SCP-AL;Legrand - SCP - Al (PE1);1250A-SCP-AL;0.055;0.015;0.046;0.015;0.125;0.06;45;99;1.25
1600A-SCP-AL;Legrand - SCP - Al (PE1);1600A-SCP-AL;0.039;0.014;0.033;0.014;0.113;0.05;48;106;1.6
2000A-SCP-AL;Legrand - SCP - Al (PE1);2000A-SCP-AL;0.03;0.011;0.025;0.011;0.101;0.04;48;106;2
2500A-SCP-AL;Legrand - SCP - Al (PE1);2500A-SCP-AL;0.024;0.006;0.021;0.006;0.075;0.03;90;198;2.5
3200A-SCP-AL;Legrand - SCP - Al (PE1);3200A-SCP-AL;0.019;0.006;0.016;0.006;0.069;0.02;96;211;3.2
4000A-SCP-AL;Legrand - SCP - Al (PE1);4000A-SCP-AL;0.016;0.006;0.013;0.006;0.065;0.02;96;211;4
5000A-SCP-AL;Legrand - SCP - Al (PE1);5000A-SCP-AL;0.012;0.003;0.011;0.003;0.038;0.01;96;211;5
800A-SCP-CU;Legrand - SCP - Cu (PE1);800A-SCP-CU;0.042;0.023;0.048;0.023;0.125;0.077;27;57;0.8
1000A-SCP-CU;Legrand - SCP - Cu (PE1);1000A-SCP-CU;0.035;0.017;0.039;0.017;0.125;0.071;30;66;1
1250A-SCP-CU;Legrand - SCP - Cu (PE1);1250A-SCP-CU;0.037;0.017;0.041;0.017;0.125;0.071;36;79;1.25
1600A-SCP-CU;Legrand - SCP - Cu (PE1);1600A-SCP-CU;0.027;0.015;0.031;0.015;0.113;0.059;51;112;1.6
2000A-SCP-CU;Legrand - SCP - Cu (PE1);2000A-SCP-CU;0.022;0.014;0.026;0.014;0.113;0.058;53;116;2
2500A-SCP-CU;Legrand - SCP - Cu (PE1);2500A-SCP-CU;0.017;0.011;0.02;0.011;0.101;0.043;53;116;2.5
3200A-SCP-CU;Legrand - SCP - Cu (PE1);3200A-SCP-CU;0.013;0.007;0.015;0.007;0.075;0.029;102;224;3.2
4000A-SCP-CU;Legrand - SCP - Cu (PE1);4000A-SCP-CU;0.011;0.006;0.013;0.006;0.069;0.023;106;232;4
5000A-SCP-CU;Legrand - SCP - Cu (PE1);5000A-SCP-CU;0.008;0.006;0.01;0.006;0.065;0.022;106;232;5
6300A-SCP-CU;Legrand - SCP - Cu (PE1);6300A-SCP-CU;0.006;0.004;0.007;0.004;0.038;0.015;106;232;6.3
