item_name;item_category;p_kw;efficiency;cos_phi;k;rx
0.37kW, 2P, IE1;IE1;0.37;66.1;0.75;6;0.42
0.55kW, 2P, IE1;IE1;0.55;69.1;0.75;6;0.42
0.75kW, 2P, IE1;IE1;0.75;72.1;0.85;6;0.42
1.1kW, 2P, IE1;IE1;1.1;75;0.85;6;0.42
1.5kW, 2P, IE1;IE1;1.5;77.2;0.85;6;0.42
2.2kW, 2P, IE1;IE1;2.2;79.7;0.85;6.5;0.42
3.7kW, 2P, IE1;IE1;3.7;82.7;0.85;6.5;0.42
5.5kW, 2P, IE1;IE1;5.5;84.7;0.85;6.5;0.42
7.5kW, 2P, IE1;IE1;7.5;86;0.85;6.5;0.42
11kW, 2P, IE1;IE1;11;87.6;0.9;6.5;0.42
15kW, 2P, IE1;IE1;15;88.7;0.9;6.5;0.42
18.5kW, 2P, IE1;IE1;18.5;89.3;0.9;6.5;0.42
22kW, 2P, IE1;IE1;22;89.9;0.9;6.5;0.42
30kW, 2P, IE1;IE1;30;90.7;0.9;6.5;0.42
37kW, 2P, IE1;IE1;37;91.2;0.9;6.5;0.42
45kW, 2P, IE1;IE1;45;91.7;0.9;6.5;0.42
55kW, 2P, IE1;IE1;55;92.1;0.9;6.5;0.42
75kW, 2P, IE1;IE1;75;92.7;0.9;6.5;0.42
90kW, 2P, IE1;IE1;90;93;0.9;6.5;0.42
110kW, 2P, IE1;IE1;110;93.3;0.9;6.5;0.42
125kW, 2P, IE1;IE1;125;93.4;0.9;6.5;0.42
132kW, 2P, IE1;IE1;132;93.5;0.9;6.5;0.42
160kW, 2P, IE1;IE1;160;93.8;0.9;6.5;0.42
200kW, 2P, IE1;IE1;200;94;0.9;6.5;0.42
250kW, 2P, IE1;IE1;250;94;0.9;6.5;0.42
315kW, 2P, IE1;IE1;315;94;0.9;6.5;0.42
0.37kW, 4P, IE1;IE1;0.37;65.1;0.7;5.5;0.42
0.55kW, 4P, IE1;IE1;0.55;69.1;0.7;5.5;0.42
0.75kW, 4P, IE1;IE1;0.75;72.1;0.8;5.5;0.42
