item_name;item_category;p_kw;efficiency;cos_phi;k
0.18kW, 2P;IS 996 - 1 ph - CSIR;0.18;50;0.58;5.9
0.25kW, 2P;IS 996 - 1 ph - CSIR;0.25;55;0.55;6.1
0.37kW, 2P;IS 996 - 1 ph - CSIR;0.37;58;0.57;6.1
0.55kW, 2P;IS 996 - 1 ph - CSIR;0.55;60;0.55;6
0.75kW, 2P;IS 996 - 1 ph - CSIR;0.75;65;0.56;6.2
1.1kW, 2P;IS 996 - 1 ph - CSIR;1.1;67;0.58;6
1.5kW, 2P;IS 996 - 1 ph - CSIR;1.5;69;0.59;6
2.2kW, 2P;IS 996 - 1 ph - CSIR;2.2;70;0.67;6
0.18kW, 4P;IS 996 - 1 ph - CSIR;0.18;50;0.52;5.7
0.25kW, 4P;IS 996 - 1 ph - CSIR;0.25;55;0.55;6.4
0.37kW, 4P;IS 996 - 1 ph - CSIR;0.37;58;0.55;6.2
0.55kW, 4P;IS 996 - 1 ph - CSIR;0.55;60;0.61;6.8
0.75kW, 4P;IS 996 - 1 ph - CSIR;0.75;65;0.59;6.5
1.1kW, 4P;IS 996 - 1 ph - CSIR;1.1;67;0.57;6
1.5kW, 4P;IS 996 - 1 ph - CSIR;1.5;69;0.58;6
2.2kW, 4P;IS 996 - 1 ph - CSIR;2.2;70;0.65;6
0.18kW, 2P;IS 996 - 1 ph - CSCR;0.18;52;0.72;7.6
0.25kW, 2P;IS 996 - 1 ph - CSCR;0.25;57;0.68;7.9
0.37kW, 2P;IS 996 - 1 ph - CSCR;0.37;60;0.71;7.9
0.55kW, 2P;IS 996 - 1 ph - CSCR;0.55;66;0.72;8.6
0.75kW, 2P;IS 996 - 1 ph - CSCR;0.75;68;0.76;8.7
1.1kW, 2P;IS 996 - 1 ph - CSCR;1.1;70;0.77;8.3
1.5kW, 2P;IS 996 - 1 ph - CSCR;1.5;71;0.77;8.1
2.2kW, 2P;IS 996 - 1 ph - CSCR;2.2;72;0.85;7.8
0.18kW, 4P;IS 996 - 1 ph - CSCR;0.18;52;0.68;7.3
0.25kW, 4P;IS 996 - 1 ph - CSCR;0.25;57;0.66;6.9
0.37kW, 4P;IS 996 - 1 ph - CSCR;0.37;60;0.67;7
0.55kW, 4P;IS 996 - 1 ph - CSCR;0.55;66;0.67;7
0.75kW, 4P;IS 996 - 1 ph - CSCR;0.75;68;0.71;7.1
1.1kW, 4P;IS 996 - 1 ph - CSCR;1.1;70;0.73;7
1.5kW, 4P;IS 996 - 1 ph - CSCR;1.5;71;0.73;7
2.2kW, 4P;IS 996 - 1 ph - CSCR;2.2;72;0.81;7
