item_name;item_category;name;sn_mva;vn_hv_kv;vn_lv_kv;vk_percent;vkr_percent;pfe_kw;i0_percent;shift_degree;vector_group;vk0_percent;vkr0_percent;mag0_percent;mag0_rx;si0_hv_partial
160 MVA 380/110 kV;Standard Types;;160;380;110;12.2;0.25;60;0.06;0;;12.2;0.25;10;0;0.1
100 MVA 220/110 kV;Standard Types;;100;220;110;12;0.26;55;0.06;0;;12;0.26;10;0;0.1
63 MVA 110/20 kV;Standard Types;;63;110;20;18;0.32;22;0.04;150;;18;0.32;10;0;0.1
40 MVA 110/20 kV;Standard Types;;40;110;20;16.2;0.34;18;0.05;150;;16.2;0.34;10;0;0.1
25 MVA 110/20 kV;Standard Types;;25;110;20;12;0.41;14;0.07;150;;12;0.41;10;0;0.1
63 MVA 110/10 kV;Standard Types;;63;110;10;18;0.32;22;0.04;150;;18;0.32;10;0;0.1
40 MVA 110/10 kV;Standard Types;;40;110;10;16.2;0.34;18;0.05;150;;16.2;0.34;10;0;0.1
25 MVA 110/10 kV;Standard Types;;25;110;10;12;0.41;14;0.07;150;;12;0.41;10;0;0.1
0.25 MVA 20/0.4 kV;Standard Types;;0.25;20;0.4;6;1.44;0.8;0.32;150;;6;1.44;10;0;0.1
0.4 MVA 20/0.4 kV;Standard Types;;0.4;20;0.4;6;1.425;1.35;0.3375;150;;6;1.425;10;0;0.1
0.63 MVA 20/0.4 kV;Standard Types;;0.63;20;0.4;6;1.206;1.65;0.2619;150;;6;1.206;10;0;0.1
0.25 MVA 10/0.4 kV;Standard Types;;0.25;10;0.4;4;1.2;0.6;0.24;150;;4;1.2;10;0;0.1
0.4 MVA 10/0.4 kV;Standard Types;;0.4;10;0.4;4;1.325;0.95;0.2375;150;;4;1.325;10;0;0.1
0.63 MVA 10/0.4 kV;Standard Types;;0.63;10;0.4;4;1.0794;1.18;0.1873;150;;4;1.0794;10;0;0.1
100kVA, 11kV/433V;11kV/433V, IS-1180, Energy Efficiency Level 1;IS1180, EEL1;0.1;11;0.415;4.9;1.7;0.093;2.5;30;Dyn;4.9;1.7;10;0;0.1
160kVA, 11kV/433V;11kV/433V, IS-1180, Energy Efficiency Level 1;IS1180, EEL1;0.16;11;0.415;4.9;1.2;0.293;2.3;30;Dyn;4.9;1.2;10;0;0.1
200kVA, 11kV/433V;11kV/433V, IS-1180, Energy Efficiency Level 1;IS1180, EEL1;0.2;11;0.415;4.9;1.2;0.287;2.1;30;Dyn;4.9;1.2;10;0;0.1
250kVA, 11kV/433V;11kV/433V, IS-1180, Energy Efficiency Level 1;IS1180, EEL1;0.25;11;0.415;4.9;1.1;0.35;2;30;Dyn;4.9;1.1;10;0;0.1
